A.1	Finding value of $c$ such that the range of the rational function $f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$ does not contain $[-1, -\frac{1}{3}]$	I am comfortable when I am asked to calculate the range of a rational function, but how do we do the reverse? I came across this problem. If $$f(x)= \frac{x^2 + x + c}{x^2 + 2x + c}$$ then find the value of $c$ for which the range of $f(x)$ does not contain $[-1, -\frac{1}{3}]$.	یافتن مقدار $c$ به گونه ای که محدوده تابع منطقی $f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$ $[-1, -\frac{1}{3}]$ را شامل نکند	من راحت هستم وقتی از من خواسته می شود که دامنه یک تابع منطقی را محاسبه کنم، اما چگونه برعکس را انجام دهیم؟ من با این مشکل مواجه شدم. اگر $$f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$$ پس ارزش $c$ را پیدا کنید که محدوده $f(x)$ حاوی $[-1, -\frac{1}{3}]$ نیست.	functions
A.2	Solving differential equations of the form $f'(x)=f(x+1)$	How to solve differential equations of the following form:  $\frac{df}{dx} = f(x+1)$	حل معادلات فرقی شکل $f'(x)=f(x+1)$	چگونه معادلات فرقی شکل زیر را حل کنیم: $\frac{df}{dx} = f(x+1)$	ordinary-differential-equations
A.3	Approximation to $\sqrt{5}$ correct to an exactitude of $10^{-10}$	I am attempting to resolve the following problem:  Find an approximation to $\sqrt{5}$ correct to an exactitude of $10^{-10}$ using the bisection algorithm.  From what I understand, $\sqrt{5}$ has to be placed in function of $x$ but I am not sure where to go from there. Also, a function in Mathematica are given to do the calculations in which the function $f(x)$, $a$ and $b$ (from the interval $[a, b]$ where $f(a)$ and $f(b)$ have opposite signs), the tolerance and the number of iterations.	نزدیک شدن به $\sqrt{5}$ درست به دقت $10^{-10}$	من در تلاش هستم تا مشکل زیر را حل کنم: با استفاده از الگوریتم دو قطعه، یک محاسبات $\sqrt{5}$ درست به دقت $10^{-10}$ پیدا کنید. از آنچه می دانم، $\sqrt{5}$ باید به عنوان تابع $x$ قرار گیرد اما مطمئن نیستم که از آنجا به کجا برویم. همچنین، یک تابع در ریاضیات برای انجام محاسبات داده می شود که در آن عملکرد $f(x)$, $a$ و $b$ (از فاصله $[a, b]$ که $f(a)$ و $f(b)$ نشانه های مخالف دارند) ، تحمل و تعداد تکرار ها.	numerical-methods,algorithms,bisection
A.4	How to compute this combinatoric sum?	I have the sum $$\sum_{k=0}^{n} \binom{n}{k} k$$ I know the result is $n 2^{n-1}$ but I don't know how you get there. How does one even begin to simplify a sum like this that has binomial coefficients.	چطور این مبلغ ترکیبی را محاسبه کنیم؟	من مقدار $$\sum_{k=0}^{n} \binom{n}{k} k$$ دارم من می دانم که نتیجه $n 2^{n-1}$ است اما نمی دانم چگونه به آنجا می رسد. چگونه حتی شروع به ساده کردن یک مقدار مانند این که دارای معادلات دوگانه است.	combinatorics,number-theory,summation,proof-explanation
A.5	A family has two children. Given that one of the children is a boy, what is the probability that both children are boys?	A family has two children. Given that one of the children is a boy, what is the probability that both children are boys?  I was doing this question using conditional probability formula.  Suppose, (1) is the event, that the first child is a boy, and (2) is the event that the second child is a boy. Then the probability of the second child to be boy given that first child is a boys by formula, $P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...since second child to be boy doesn't depend on first child and vice versa. Please provide the detailed solution and correct me if I am wrong.	یک خانواده دو فرزند دارد. با توجه به اینکه یکی از کودکان پسر است، احتمال اینکه هر دو فرزند پسر باشند چه است؟	یک خانواده دو فرزند دارد. با توجه به اینکه یکی از کودکان پسر است، احتمال اینکه هر دو کودک پسر باشند چه است؟ من این سوال را با استفاده از فرمول احتمال مشروط می پرسیدم. فرض کنید، (1) این اتفاق است که اولین کودک پسر است، و (2) این اتفاق است که کودک دوم پسر است. سپس احتمال پسر بودن فرزند دوم به نظر می رسد که اولین کودک پسر است با فرمول، $P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...از آنجا که فرزند دوم پسر است بستگی به اولین کودک و برعکس ندارد. لطفا راه حل مفصل را ارائه دهید و اگر اشتباه کردم مرا اصلاح کنید.	probability,proof-verification,conditional-probability
A.6	How to calculate mod of number with big exponent	I want to find $$ 5^{133} \mod 8. $$ I have noticed that $5^n \mod 8 = 5$ when $n$ is uneven and 1 otherwise, which would lead me to say that $5^{133} \mod 8 = 5$ But I don't know how to prove this. How can I prove that this is the case (or find another solution if it is not)?	چگونه با نماد بزرگ شمارش را محاسبه کنیم	من می خواهم $$ 5^{133} \mod 8. $$ من متوجه شدم که $5^n \mod 8 = 5$ زمانی که $n$ نامساوی است و 1 غیر مساوی است، که باعث می شود من بگویم که $5^{133} \mod 8 = 5$ اما من نمی دانم چگونه این را اثبات کنم. چگونه می توانم ثابت کنم که این مورد است (یا پیدا کردن راه حل دیگری اگر آن را نیست)?	algebra-precalculus,arithmetic
A.7	Finding out the remainder of $\frac{11^\text{10}-1}{100}$ using modulus	If $11^\text{10}-1$ is divided by $100$, then solve for '$x$' of the below term $$11^\text{10}-1 = x \pmod{100}$$  Whatever I tried: $11^\text{2} \equiv 21 \pmod{100}$.....(1) $(11^\text{2})^\text{2} \equiv (21)^\text{2} \pmod{100}$ $11^\text{4} \equiv 441 \pmod{100}$ $11^\text{4} \equiv 41 \pmod{100}$ $(11^\text{4})^\text{2} \equiv (41)^\text{2} \pmod{100}$ $11^\text{8} \equiv 1681 \pmod{100}$ $11^\text{8} \equiv 81 \pmod{100}$ $11^\text{8} × 11^\text{2} \equiv (81×21) \pmod{100}$ ......{from (1)} $11^\text{10} \equiv 1701 \pmod{100} \implies 11^\text{10} \equiv 1 \pmod{100}$ Hence, $11^\text{10} -1 \equiv (1-1) \pmod{100} \implies 11^\text{10} - 1 \equiv 0 \pmod{100}$ and thus we get the value of $x$ and it is $x = 0$ and $11^\text{10}-1$ is divisible by $100$. But this approach take a long time for any competitive exam or any math contest without using calculator. Any easier process on how to determine the remainder of the above problem quickly? That will be very much helpful for me. Thanks in advance.	یافتن باقی مانده از $\frac{11^\text{10}-1}{100}$ با استفاده از ماژول	اگر $11^\text{10}-1$ به $100$ تقسیم شود، پس برای '$x$' از اصطلاح زیر $$11^\text{10}-1 = x \pmod{100}$$ حل کنید هر چه که سعی کردم: $11^\text{2} \equiv 21 \pmod{100}$.....(1) $(11^\text{2})^\text{2} \equiv (21)^\text{2} \pmod{100}$ $11^\text{4} \equiv 441 \pmod{100}$ $11^\text{4} \equiv 41 \pmod{100}$ $(11^\text{4})^\text{2} \equiv (41)^\text{2} \pmod{100}$ $11^\text{10}-1$0 $11^\text{10}-1$1 $11^\text{10}-1$2 ......{از (1)} $11^\text{10}-1$3 بنابراین، $11^\text{10}-1$4 و بنابراین ما مقدار $x$ را دریافت می کنیم و این $11^\text{10}-1$5 و $11^\text{10}-1$ قابل تقسیم با $100$ است. اما این رویکرد برای هر آزمون رقابتی یا هر مسابقه بدون استفاده از ماشین حساب زمان زیادی می برد.	elementary-number-theory,modular-arithmetic,divisibility,alternative-proof
A.8	finding value of $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$	Finding value of $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ what i try $\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$ $\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$ How do i solve it help me please	یافتن ارزش $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$	پیدا کردن ارزش $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ چه چیزی من سعی کردم $\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$ $\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$ چگونه من آن را حل کنید لطفا کمکم کنید	limits
A.9	Simplifying this series	I need to write the series  $$\sum_{n=0}^N nx^n$$  in a form that does not involve the summation notation, for example $\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$. Does anyone have any idea how to do this? I've attempted multiple ways including using generating functions however no luck	ساده کردن این سری	من باید سری $$\sum_{n=0}^N nx^n$$ را به شکل ای بنویسم که شامل نماد جمع بندی نباشد، به عنوان مثال $\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$. آیا کسی ایده ای دارد که چگونه این کار را انجام دهم؟ من چندین راه از جمله استفاده از عملکردهای تولید را امتحان کرده ام اما هیچ شانس	sequences-and-series
A.10	Find the values of a>0 for which the improper integral $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ converges .	Find the values of a>0 for which the improper integral $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ converges .  Do  I have to expand integrand using series expansion??	ارزش های a>0 را پیدا کنید که برای آن یکپارچه نامناسب $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ به هم می رسد .	ارزش های a>0 را پیدا کنید که برای آن یکپارچه نامناسب $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ به هم می پیوندد. آیا من باید یکپارچه را با استفاده از گسترش سری گسترش دهم؟	improper-integrals
