A.1	Finding value of $c$ such that the range of the rational function $f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$ does not contain $[-1, -\frac{1}{3}]$	I am comfortable when I am asked to calculate the range of a rational function, but how do we do the reverse? I came across this problem. If $$f(x)= \frac{x^2 + x + c}{x^2 + 2x + c}$$ then find the value of $c$ for which the range of $f(x)$ does not contain $[-1, -\frac{1}{3}]$.	Valo de $c$ de tal manera que el rango de la función racional $f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$ no contenga $[-1, -\frac{1}{3}]$	Me siento cómodo cuando me piden que calcule el rango de una función racional, pero ¿cómo hacemos lo contrario? Me encontré con este problema. Si $$f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$$ entonces encontrar el valor de $c$ para el cual el rango de $f(x)$ no contiene $[-1, -\frac{1}{3}]$.	functions
A.2	Solving differential equations of the form $f'(x)=f(x+1)$	How to solve differential equations of the following form:  $\frac{df}{dx} = f(x+1)$	Resolución de ecuaciones diferenciales de la forma $f'(x)=f(x+1)$	Cómo resolver ecuaciones diferenciales de la siguiente forma: $\frac{df}{dx} = f(x+1)$	ordinary-differential-equations
A.3	Approximation to $\sqrt{5}$ correct to an exactitude of $10^{-10}$	I am attempting to resolve the following problem:  Find an approximation to $\sqrt{5}$ correct to an exactitude of $10^{-10}$ using the bisection algorithm.  From what I understand, $\sqrt{5}$ has to be placed in function of $x$ but I am not sure where to go from there. Also, a function in Mathematica are given to do the calculations in which the function $f(x)$, $a$ and $b$ (from the interval $[a, b]$ where $f(a)$ and $f(b)$ have opposite signs), the tolerance and the number of iterations.	Aproximación a la corrección $\sqrt{5}$ con una exactitud de $10^{-10}$	Estoy tratando de resolver el siguiente problema: encontrar una aproximación a $\sqrt{5}$ correcta a una exactitud de $10^{-10}$ usando el algoritmo de bisección. Por lo que entiendo, $\sqrt{5}$ debe colocarse en función de $x$ pero no estoy seguro de dónde ir desde allí. También, se da una función en Matemáticas para hacer los cálculos en los que la función $f(x)$, $a$ y $b$ (desde el intervalo $[a, b]$ donde $f(a)$ y $f(b)$ tienen signos opuestos), la tolerancia y el número de iteraciones.	numerical-methods,algorithms,bisection
A.4	How to compute this combinatoric sum?	I have the sum $$\sum_{k=0}^{n} \binom{n}{k} k$$ I know the result is $n 2^{n-1}$ but I don't know how you get there. How does one even begin to simplify a sum like this that has binomial coefficients.	¿Cómo calcular esta suma combinatoria?	Tengo la suma $$\sum_{k=0}^{n} \binom{n}{k} k$$ Sé que el resultado es $n 2^{n-1}$ pero no sé cómo llegar allí. ¿Cómo se puede incluso empezar a simplificar una suma como esta que tiene coeficientes binomial.	combinatorics,number-theory,summation,proof-explanation
A.5	A family has two children. Given that one of the children is a boy, what is the probability that both children are boys?	A family has two children. Given that one of the children is a boy, what is the probability that both children are boys?  I was doing this question using conditional probability formula.  Suppose, (1) is the event, that the first child is a boy, and (2) is the event that the second child is a boy. Then the probability of the second child to be boy given that first child is a boys by formula, $P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...since second child to be boy doesn't depend on first child and vice versa. Please provide the detailed solution and correct me if I am wrong.	¿Cuál es la probabilidad de que ambos hijos sean niños, dado que uno de ellos es un niño?	Una familia tiene dos hijos. Dado que uno de los niños es un niño, ¿cuál es la probabilidad de que ambos niños sean niños? Estaba haciendo esta pregunta usando la fórmula de probabilidad condicional. Supongamos, (1) es el evento, que el primer niño es un niño, y (2) es el evento de que el segundo niño es un niño. Entonces la probabilidad del segundo niño es un niño dado que el primer niño es un niño por fórmula, $P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...ya que el segundo niño es un niño no depende del primer niño y viceversa. Por favor proporcione la solución detallada y corrija si estoy equivocado.	probability,proof-verification,conditional-probability
A.6	How to calculate mod of number with big exponent	I want to find $$ 5^{133} \mod 8. $$ I have noticed that $5^n \mod 8 = 5$ when $n$ is uneven and 1 otherwise, which would lead me to say that $5^{133} \mod 8 = 5$ But I don't know how to prove this. How can I prove that this is the case (or find another solution if it is not)?	Cómo calcular el mod de número con un gran exponente	Quiero encontrar $$ 5^{133} \mod 8. $$ He notado que $5^n \mod 8 = 5$ cuando $n$ es desigual y 1 de otra manera, lo que me llevaría a decir que $5^{133} \mod 8 = 5$ Pero no sé cómo probar esto. ¿Cómo puedo probar que este es el caso (o encontrar otra solución si no es)?	algebra-precalculus,arithmetic
A.7	Finding out the remainder of $\frac{11^\text{10}-1}{100}$ using modulus	If $11^\text{10}-1$ is divided by $100$, then solve for '$x$' of the below term $$11^\text{10}-1 = x \pmod{100}$$  Whatever I tried: $11^\text{2} \equiv 21 \pmod{100}$.....(1) $(11^\text{2})^\text{2} \equiv (21)^\text{2} \pmod{100}$ $11^\text{4} \equiv 441 \pmod{100}$ $11^\text{4} \equiv 41 \pmod{100}$ $(11^\text{4})^\text{2} \equiv (41)^\text{2} \pmod{100}$ $11^\text{8} \equiv 1681 \pmod{100}$ $11^\text{8} \equiv 81 \pmod{100}$ $11^\text{8} × 11^\text{2} \equiv (81×21) \pmod{100}$ ......{from (1)} $11^\text{10} \equiv 1701 \pmod{100} \implies 11^\text{10} \equiv 1 \pmod{100}$ Hence, $11^\text{10} -1 \equiv (1-1) \pmod{100} \implies 11^\text{10} - 1 \equiv 0 \pmod{100}$ and thus we get the value of $x$ and it is $x = 0$ and $11^\text{10}-1$ is divisible by $100$. But this approach take a long time for any competitive exam or any math contest without using calculator. Any easier process on how to determine the remainder of the above problem quickly? That will be very much helpful for me. Thanks in advance.	Identificación del resto de $\frac{11^\text{10}-1}{100}$ utilizando el módulo	Si $11^\text{10}-1$ es dividido por $100$, entonces resolver para '$x$' del término de abajo $$11^\text{10}-1 = x \pmod{100}$$ Lo que sea que haya intentado: $11^\text{2} \equiv 21 \pmod{100}$.....(1) $(11^\text{2})^\text{2} \equiv (21)^\text{2} \pmod{100}$ $11^\text{4} \equiv 441 \pmod{100}$ $11^\text{4} \equiv 41 \pmod{100}$ $(11^\text{4})^\text{2} \equiv (41)^\text{2} \pmod{100}$ $11^\text{10}-1$0 $11^\text{10}-1$1 $11^\text{10}-1$2 ......{de (1)} $11^\text{10}-1$3 Así que, $11^\text{10}-1$4 y así obtenemos el valor de $x$ y es $11^\text{10}-1$5 y $11^\text{10}-1$ es divisible por $100$. Pero este enfoque toma mucho tiempo para cualquier examen competitivo o cualquier concurso sin usar calculadora. ¿Algún proceso más fácil sobre cómo determinar el resto del problema matemático rápidamente? Eso me ayudará mucho.	elementary-number-theory,modular-arithmetic,divisibility,alternative-proof
A.8	finding value of $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$	Finding value of $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ what i try $\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$ $\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$ How do i solve it help me please	hallar el valor de $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$	Encontrar el valor de $\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ lo que intento $\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$ $\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$ Cómo puedo resolverlo ayúdame por favor	limits
A.9	Simplifying this series	I need to write the series  $$\sum_{n=0}^N nx^n$$  in a form that does not involve the summation notation, for example $\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$. Does anyone have any idea how to do this? I've attempted multiple ways including using generating functions however no luck	Simplificando esta serie	Necesito escribir la serie $$\sum_{n=0}^N nx^n$$ en una forma que no involucre la notación de suma, por ejemplo $\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$. ¿Alguien tiene alguna idea de cómo hacer esto? He intentado varias formas incluyendo el uso de funciones de generación sin embargo ninguna suerte	sequences-and-series
A.10	Find the values of a>0 for which the improper integral $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ converges .	Find the values of a>0 for which the improper integral $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ converges .  Do  I have to expand integrand using series expansion??	Encuentra los valores de un>0 para los cuales converge la integral incorrecta $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ .	Encuentra los valores de un>0 para los cuales converge la integral incorrecta $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $. ¿Tengo que expandir la integrand utilizando la expansión de serie?	improper-integrals
